ћарка;—сылка;÷ена в USD;÷ена в UAH;√ород
Volkswagen Caddy пасс. 20212.0 TDI MT (102 к.с.) SCR/AdB;https://auto.ria.com/newauto/auto-volkswagen-caddy-pass-1883272.html;27 793 $;908 000 грн;’мельницький
Volkswagen Touareg 2022R-Line 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883233.html;81 833 $;2 673 496 грн;∆итомир
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883188.html;23 416 $;765 000 грн;∆итомир
Volkswagen Arteon Shooting Brake 2021R-Line 2.0 TSI DSG (280 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-arteon-shooting-brake-1883154.html;59 487 $;1 740 233 грн;ƒн≥про (ƒн≥пропетровськ)
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883057.html;29 507 $;963 990 грн;≤вано-‘ранк≥вськ
Volkswagen T6 (Transporter) груз 2022Pro 2.0 TDI MT (110 к.с.) L1H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-gruz-1883179.html;31 243 $;1 020 700 грн;≤вано-‘ранк≥вськ
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883058.html;26 843 $;876 965 грн;≤вано-‘ранк≥вськ
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882922.html;26 509 $;29 602 $;Ћьв≥в
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882925.html;25 867 $;28 886 $;Ћьв≥в
Volkswagen T-Cross 2022Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882826.html;23 073 $;753 800 грн;„ерн≥вц≥
Volkswagen Touareg 2021R-Line 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1882685.html;83 000 $;2 490 000 грн;Ћуцьк
Volkswagen Passat 2021Elegance 2.0 TDI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1882684.html;47 700 $;1 431 000 грн;Ћуцьк
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872457.html;27 992 $;914 499 грн;ѕолтава
Volkswagen Tiguan 2021Elegance 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1881248.html;48 425 $;1 582 045 грн;ѕолтава
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1879253.html;26 936 $;880 000 грн;∆итомир
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872708.html;22 146 $;723 500 грн;¬≥нниц€
Volkswagen Touareg 2022R-Line 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1882330.html;85 000 $;2 776 950 грн;ѕолтава
Volkswagen Arteon 2021R-Line 2.0 TDI DSG (200 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1866328.html;49 740 $;1 625 000 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1872122.html;28 829 $;941 850 грн;„ерн≥вц≥
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1848742.html;26 171 $;28 490 $;¬≥нниц€
Volkswagen Golf 2022Life 1.6 MPI AT (110 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1871112.html;23 875 $;780 000 грн;¬≥нниц€
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872590.html;22 923 $;748 905 грн;’мельницький
